
 ⛅️ wrangler 4.100.0
────────────────────
Successfully created tail, expires at 2026-06-12T13:50:11Z
Connected to videx-api, waiting for logs...
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/97062/recommendations?page=1 - Ok @ 12/06/2026, 11:14:47
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/discover/tv?watch_region=GB&include_adult=false&sort_by=vote_average.desc&without_genres=10762&with_genres=99,80&vote_average.gte=5.721&vote_count.gte=50 - Ok @ 12/06/2026, 11:14:47
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/248126/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/114705/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/81337/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/96129/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/21421/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/89101/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/85833/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/261649/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/97062/similar?page=1 - Ok @ 12/06/2026, 11:14:47
GET https://videx-api.kingbalouu.workers.dev/v1/title/tv/97062 - Ok @ 12/06/2026, 11:14:47
GET https://videx-api.kingbalouu.workers.dev/v1/foryou?services=apple%2Cbbc%2Cchannel4%2Citvx%2Cnetflix%2Cprime%2Cskygo&hour=11&dow=5 - Ok @ 12/06/2026, 11:14:40
  (log) [Pipeline] multi-interest RPCs returned: 540 → after hard filters: 435
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/78/watch/providers - Ok @ 12/06/2026, 11:14:48
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/78 - Ok @ 12/06/2026, 11:14:54
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/search/movie?query=Lord+kf&page=1&include_adult=false&language=en-GB&region=GB - Ok @ 12/06/2026, 11:15:14
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/search/tv?query=Lord&page=1&include_adult=false&language=en-GB - Ok @ 12/06/2026, 11:15:15
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/search/movie?query=Lord&page=1&include_adult=false&language=en-GB&region=GB - Ok @ 12/06/2026, 11:15:15
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/search/movie?query=Lord+of&page=1&include_adult=false&language=en-GB&region=GB - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/search/tv?query=Lord+of&page=1&include_adult=false&language=en-GB - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1830/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/122/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/232230/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/853387/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/9960/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/10847/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/109059/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/89338/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/84773/watch/providers - Ok @ 12/06/2026, 11:15:16
